Provider Ticket,Broker Ticket,Type,Currency,Standard Lots,Date Open,Date Close,Price Open,Price Close,Highest Profit (Pips),Worst Drawdown (Pips),Interest ($),Profit (Pips),Profit ($)
400.1634997872692,87032666,SELL,GBP/USD,0.1,2021/10/25 13:24:58 UTC,2021/10/26 10:11:36 UTC,1.37639,1.381,17.1,-46.1,-0.23,-46.1,-46.33
400.1634998021901,87041898,SELL,EUR/USD,0.1,2021/10/26 09:36:45 UTC,2021/10/26 14:56:28 UTC,1.16105,1.1595,15.5,-15.4,0.0,15.5,15.5
400.1634998031883,87042692,SELL,GBP/USD,0.1,2021/10/26 10:49:00 UTC,2021/10/27 07:58:52 UTC,1.38215,1.3745,76.5,-8.4,-0.23,76.5,76.27
400.1634998223054,87059763,SELL,EUR/USD,0.1,2021/10/27 12:35:26 UTC,2021/10/27 15:24:54 UTC,1.16215,1.159,31.5,-3.4,0.0,31.5,31.5
400.1634998348382,87070338,SELL,GBP/USD,0.1,2021/10/28 05:42:32 UTC,2021/10/28 07:39:19 UTC,1.37423,1.377,6.8,-27.7,0.0,-27.7,-27.7
400.1634998402550,87074456,SELL,GBP/USD,0.1,2021/10/28 12:55:59 UTC,2021/10/28 13:54:58 UTC,1.37534,1.3785,0.0,-31.6,0.0,-31.6,-31.6
400.1634998432203,87079318,SELL,EUR/USD,0.1,2021/10/28 16:29:31 UTC,2021/10/29 04:57:08 UTC,1.16859,1.167,15.9,-4.3,0.03,15.9,15.93
400.1634998415645,87077430,SELL,GBP/USD,0.1,2021/10/28 14:23:56 UTC,2021/10/29 10:01:19 UTC,1.37993,1.3795,34.8,-16.1,-0.17,4.3,4.13
400.1634998569581,87087166,SELL,GBP/USD,0.1,2021/10/29 11:13:03 UTC,2021/10/29 14:17:20 UTC,1.37837,1.37371,46.6,-12.5,0.0,46.6,46.6
400.1634998801070,87101294,SELL,GBP/USD,0.1,2021/11/01 08:33:44 UTC,2021/11/01 09:01:07 UTC,1.36729,1.365,22.9,-4.0,0.0,22.9,22.9
400.1634998953834,87110283,SELL,EUR/USD,0.1,2021/11/02 05:16:03 UTC,2021/11/02 19:07:54 UTC,1.16045,1.15829,29.1,-8.9,0.0,21.6,21.6
400.1634999185875,87123198,SELL,GBP/USD,0.1,2021/11/03 12:28:08 UTC,2021/11/03 18:00:20 UTC,1.36513,1.3675,17.9,-23.7,0.0,-23.7,-23.7
400.1634999229415,87126525,SELL,GBP/USD,0.1,2021/11/03 18:03:41 UTC,2021/11/04 09:14:33 UTC,1.36684,1.3635,35.1,-30.3,-0.75,33.4,32.65
400.1634999232093,87126798,SELL,EUR/USD,0.1,2021/11/03 18:23:10 UTC,2021/11/04 14:39:36 UTC,1.15883,1.1545,45.5,-28.7,0.11,43.3,43.41
400.1634999549871,87146233,SELL,GBP/USD,0.1,2021/11/05 12:43:08 UTC,2021/11/05 13:16:50 UTC,1.34458,1.347,5.3,-24.2,0.0,-24.2,-24.2
400.1634999556609,87147020,SELL,GBP/USD,0.1,2021/11/05 13:32:20 UTC,2021/11/08 12:02:01 UTC,1.34709,1.352,20.5,-49.1,-0.24,-49.1,-49.34
