Provider Ticket,Broker Ticket,Type,Currency,Standard Lots,Date Open,Date Close,Price Open,Price Close,Highest Profit (Pips),Worst Drawdown (Pips),Interest ($),Profit (Pips),Profit ($)
400.1526827383447,44663331,BUY,EUR/USD,0.01,2018/07/03 15:00:45 UTC,2018/07/03 15:20:49 UTC,1.16504,1.16582,7.9,-4.5,0.0,7.8,0.58
400.1526827383450,44663334,BUY,EUR/USD,0.01,2018/07/03 15:00:45 UTC,2018/07/03 15:23:49 UTC,1.16504,1.16601,10.3,-4.5,0.0,9.7,0.77
400.1531142486130,44775372,BUY,EUR/USD,0.01,2018/07/20 07:08:53 UTC,2018/07/20 12:19:15 UTC,1.16464,1.16698,26.5,-14.1,0.0,23.4,2.14
400.1531145082257,44847201,SELL,EUR/JPY,0.01,2018/08/03 08:44:01 UTC,2018/08/03 13:07:00 UTC,129.356,129.117,23.9,-17.8,0.0,23.9,1.95
400.1533473957187,44876496,SELL,USD/JPY,0.01,2018/08/10 05:47:22 UTC,2018/08/10 08:03:11 UTC,110.949,110.689,32.7,-20.4,0.0,26.0,2.15
400.1533474066797,44879489,BUY,USD/JPY,0.01,2018/08/10 14:55:00 UTC,2018/08/10 15:17:29 UTC,110.788,110.583,0.0,-20.5,0.0,-20.5,-2.05
400.1533474073350,44879762,BUY,USD/JPY,0.01,2018/08/10 15:30:21 UTC,2018/08/10 19:24:04 UTC,110.647,110.952,36.2,-6.8,0.0,30.5,2.55
400.1534126444129,44992609,BUY,CAD/JPY,0.01,2018/09/07 06:45:15 UTC,2018/09/07 10:45:19 UTC,84.198,84.391,20.2,-3.6,0.0,19.3,1.54
400.1559036306943,47027959,BUY,USD/CAD,0.01,2019/06/06 13:17:46 UTC,2019/06/06 14:19:13 UTC,1.34021,1.33791,1.4,-23.0,0.0,-23.0,-1.92
400.1559036352743,47029061,BUY,GBP/USD,0.01,2019/06/06 17:40:54 UTC,2019/06/10 11:55:16 UTC,1.27063,1.2658,55.9,-48.3,-0.2,-48.3,-5.23
400.1559036884959,47038684,SELL,GBP/USD,0.01,2019/06/10 15:01:52 UTC,2019/06/11 10:22:15 UTC,1.26868,1.2727,15.6,-40.2,0.03,-40.2,-4.19
400.1559037087566,47041856,BUY,AUD/JPY,0.01,2019/06/11 10:41:05 UTC,2019/06/12 08:54:38 UTC,75.597,75.226,7.2,-37.1,0.01,-37.1,-3.62
400.1559037361552,47047808,SELL,CAD/JPY,0.01,2019/06/12 13:10:50 UTC,2019/06/13 02:54:48 UTC,81.598,81.202,45.5,-13.7,-0.19,39.6,3.26
400.1559037575284,47052154,BUY,EUR/JPY,0.01,2019/06/13 10:08:04 UTC,2019/06/14 07:00:04 UTC,122.413,122.042,7.3,-37.1,-0.02,-37.1,-3.65
400.1559037804550,47056836,SELL,EUR/USD,0.01,2019/06/14 08:27:46 UTC,2019/06/14 12:53:01 UTC,1.12824,1.12356,49.5,-1.0,0.0,46.8,4.48
400.1559037866699,47058169,BUY,USD/JPY,0.01,2019/06/14 14:12:04 UTC,2019/06/14 17:02:29 UTC,108.358,108.584,22.6,-2.1,0.0,22.6,1.88
400.1559038182976,47063471,BUY,USD/CAD,0.01,2019/06/17 14:46:58 UTC,2019/06/18 01:24:55 UTC,1.33975,1.34024,21.4,-5.1,0.01,4.9,0.18
400.1559038433793,47069084,SELL,CHF/JPY,0.01,2019/06/18 14:36:06 UTC,2019/06/19 10:54:35 UTC,108.516,108.688,25.9,-17.9,0.01,-17.2,-1.78
400.1559038849123,47079360,BUY,EUR/JPY,0.01,2019/06/20 06:08:56 UTC,2019/06/20 09:24:32 UTC,121.295,121.704,43.1,-6.7,0.0,40.9,3.6
400.1559038928959,47081950,BUY,GBP/USD,0.01,2019/06/20 13:02:09 UTC,2019/06/20 15:02:28 UTC,1.26817,1.26993,25.1,-5.8,0.0,17.6,1.56
400.1559039090358,47085062,BUY,EUR/AUD,0.01,2019/06/21 04:29:11 UTC,2019/06/21 07:52:29 UTC,1.63109,1.63455,38.8,-24.4,0.0,34.6,2.19
400.1559039133144,47086585,BUY,EUR/AUD,0.01,2019/06/21 08:27:16 UTC,2019/06/21 11:17:35 UTC,1.63393,1.63691,33.1,-2.4,0.0,29.8,1.86
400.1559039200775,47088569,SELL,EUR/AUD,0.01,2019/06/21 14:37:02 UTC,2019/06/21 16:05:12 UTC,1.63818,1.63749,27.7,-6.1,0.0,6.9,0.28
400.1559039233940,47089377,SELL,EUR/AUD,0.01,2019/06/21 17:32:11 UTC,2019/06/21 18:28:49 UTC,1.63941,1.64031,4.0,-9.5,0.0,-9.0,-0.82
