Provider Ticket,Broker Ticket,Type,Currency,Standard Lots,Date Open,Date Close,Price Open,Price Close,Highest Profit (Pips),Worst Drawdown (Pips),Interest ($),Profit (Pips),Profit ($)
300.1596988813452,5201378,BUY,EUR/USD,0.09,2020/04/06 07:00:00 UTC,2020/04/06 07:51:24 UTC,1.08105,1.08305,20.0,0.0,0.0,20.0,17.51
300.1596988813453,5244227,SELL,EUR/USD,0.09,2020/04/07 07:00:00 UTC,2020/04/08 06:04:21 UTC,1.08595,1.08395,20.0,0.0,-0.04,20.0,17.470000000000002
300.1596988813454,5257514,SELL,EUR/USD,0.1,2020/04/09 07:00:00 UTC,2020/04/16 15:04:19 UTC,1.08597,1.08397,20.0,0.0,0.72,20.0,20.18
300.1596988813455,5295059,BUY,EUR/USD,0.1,2020/04/17 07:00:00 UTC,2020/04/17 13:25:18 UTC,1.08546,1.08746,20.0,0.0,0.0,20.0,19.46
300.1596988813456,5301174,BUY,EUR/USD,0.11,2020/04/20 07:00:00 UTC,2020/04/20 08:47:15 UTC,1.08563,1.08763,20.0,0.0,0.0,20.0,21.4
300.1596988813457,5306022,BUY,EUR/USD,0.11,2020/04/21 07:00:00 UTC,2020/04/21 13:50:16 UTC,1.08398,1.08598,20.0,0.0,0.0,20.0,21.4
300.1596988813458,5312075,SELL,EUR/USD,0.12,2020/04/22 07:00:00 UTC,2020/04/22 14:23:34 UTC,1.08587,1.08387,20.0,0.0,0.0,20.0,23.35
300.1596988813459,5325061,BUY,EUR/USD,0.12,2020/04/24 07:00:00 UTC,2020/04/24 08:57:19 UTC,1.07384,1.07584,20.0,0.0,0.0,20.0,23.36
300.159698881346,5331243,BUY,EUR/USD,0.13,2020/04/27 07:00:00 UTC,2020/04/28 09:21:06 UTC,1.08468,1.08668,20.0,0.0,-0.87,20.0,24.42
300.1596988813461,5342662,SELL,EUR/USD,0.13,2020/04/30 07:00:00 UTC,2020/04/30 09:55:57 UTC,1.0882,1.0862,20.0,0.0,0.0,20.0,25.29
300.1596988813462,5350815,SELL,EUR/USD,0.14,2020/05/01 07:00:01 UTC,2020/05/04 04:12:01 UTC,1.09598,1.09398,20.0,0.0,-0.2,20.0,27.03
300.1596988813463,5372136,BUY,EUR/USD,0.15,2020/05/07 07:00:01 UTC,2020/05/07 07:16:45 UTC,1.07926,1.08126,20.0,0.0,0.0,20.0,29.19
300.1596988813464,5377286,SELL,EUR/USD,0.16,2020/05/08 07:00:01 UTC,2020/05/11 08:34:20 UTC,1.08336,1.08136,20.0,0.0,-0.22,20.0,30.91
300.1596988813465,5393349,BUY,EUR/USD,0.16,2020/05/13 07:00:01 UTC,2020/05/13 10:59:16 UTC,1.08454,1.08654,20.0,0.0,0.0,20.0,31.13
300.1596988813466,5397726,SELL,EUR/USD,0.17,2020/05/14 07:00:00 UTC,2020/05/14 10:53:23 UTC,1.08076,1.07876,20.0,0.0,0.0,20.0,33.08
300.1596988813467,5402893,BUY,EUR/USD,0.18,2020/05/15 07:00:02 UTC,2020/05/15 08:05:59 UTC,1.07991,1.08191,20.0,0.0,0.0,20.0,35.03
300.1596988813468,5416161,BUY,EUR/USD,0.19,2020/05/19 07:00:02 UTC,2020/05/19 10:38:01 UTC,1.09406,1.09606,20.0,0.0,0.0,20.0,36.96
300.1596988813469,5426714,BUY,EUR/USD,0.2,2020/05/21 07:00:01 UTC,2020/05/21 10:49:00 UTC,1.09672,1.09872,20.0,0.0,0.0,20.0,38.9
300.159698881347,5434237,SELL,EUR/USD,0.21,2020/05/22 07:00:00 UTC,2020/05/22 07:57:52 UTC,1.09266,1.09066,20.0,0.0,0.0,20.0,40.85
300.1596988813471,5441704,BUY,EUR/USD,0.22,2020/05/25 07:00:00 UTC,2020/05/25 09:45:34 UTC,1.08787,1.08987,20.0,0.0,0.0,20.0,42.8
300.1596988813472,5445815,BUY,EUR/USD,0.23,2020/05/26 07:00:03 UTC,2020/05/26 07:50:44 UTC,1.09188,1.09388,20.0,0.0,0.0,20.0,44.74
300.1596988813473,5450905,BUY,EUR/USD,0.24,2020/05/27 07:00:00 UTC,2020/05/27 08:17:52 UTC,1.09575,1.09775,20.0,0.0,0.0,20.0,46.69
300.1596988813474,5457614,BUY,EUR/USD,0.25,2020/05/28 07:00:00 UTC,2020/05/28 14:08:08 UTC,1.10204,1.10404,20.0,0.0,0.0,20.0,48.62
300.1596988813475,5461509,BUY,EUR/USD,0.26,2020/05/29 07:00:01 UTC,2020/05/29 09:05:53 UTC,1.10999,1.11199,20.0,0.0,0.0,20.0,50.56
300.1596988813476,5469341,SELL,EUR/USD,0.28,2020/06/01 07:00:00 UTC,2020/06/01 09:44:27 UTC,1.11373,1.11173,20.0,0.0,0.0,20.0,54.44
300.1596988813477,5479157,SELL,EUR/USD,0.28,2020/06/03 07:00:00 UTC,2020/06/03 11:30:40 UTC,1.12087,1.11887,20.0,0.0,0.0,20.0,54.43
300.1596988813478,5491073,BUY,EUR/USD,0.3,2020/06/05 07:00:00 UTC,2020/06/10 18:09:52 UTC,1.13737,1.13937,20.0,0.0,-6.06,20.0,52.23
300.1596988813479,5511022,BUY,EUR/USD,0.32,2020/06/11 07:00:01 UTC,2020/06/11 08:34:02 UTC,1.13605,1.13805,20.0,0.0,0.0,20.0,62.18
300.159698881348,5588275,SELL,EUR/USD,0.17,2020/06/29 07:00:00 UTC,2020/06/29 14:35:42 UTC,1.12582,1.12382,20.0,0.0,0.0,20.0,33.04
300.1596988813481,5591421,BUY,EUR/USD,0.17,2020/06/30 07:00:02 UTC,2020/06/30 15:00:24 UTC,1.12131,1.12331,20.0,0.0,0.0,20.0,33.05
300.1596988813482,5597049,SELL,EUR/USD,0.17,2020/07/01 07:00:00 UTC,2020/07/01 09:57:19 UTC,1.1233,1.1213,20.0,0.0,0.0,20.0,33.05
300.1596988813483,5601696,SELL,EUR/USD,0.18,2020/07/02 07:00:00 UTC,2020/07/02 14:33:48 UTC,1.1269,1.1249,20.0,0.0,0.0,20.0,34.99
300.1596988813484,5606780,BUY,EUR/USD,0.18,2020/07/03 07:00:00 UTC,2020/07/06 00:08:13 UTC,1.12404,1.1261,20.6,0.0,-1.34,20.6,34.73
300.1596988813485,5614284,SELL,EUR/USD,0.19,2020/07/06 07:00:00 UTC,2020/07/08 04:52:12 UTC,1.12914,1.12764,15.0,0.0,-0.26,15.0,27.17
300.1596988813486,5617757,BUY,EUR/USD,0.19,2020/07/07 07:00:01 UTC,2020/07/08 13:32:33 UTC,1.12941,1.13141,20.0,0.0,-1.41,20.0,35.52
300.1596988813487,5629046,BUY,EUR/USD,0.19,2020/07/09 07:00:01 UTC,2020/07/14 11:35:48 UTC,1.1356,1.13789,22.9,0.0,-4.47,22.9,37.96
300.1596988813488,5652538,BUY,EUR/USD,0.2,2020/07/16 07:00:00 UTC,2020/07/16 12:31:54 UTC,1.13982,1.14188,20.6,0.0,0.0,20.6,40.06
300.1596988813489,5657927,BUY,EUR/USD,0.2,2020/07/17 07:00:02 UTC,2020/07/17 08:32:43 UTC,1.13825,1.14031,20.6,0.0,0.0,20.6,40.06
300.159698881349,5665087,SELL,EUR/USD,0.21,2020/07/20 07:00:00 UTC,2020/07/20 12:46:10 UTC,1.14576,1.1437,20.6,0.0,0.0,20.6,42.06
