Provider Ticket,Broker Ticket,Type,Currency,Standard Lots,Date Open,Date Close,Price Open,Price Close,Highest Profit (Pips),Worst Drawdown (Pips),Interest ($),Profit (Pips),Profit ($),profit_aft_fee,cost,return_follower,return_trader
400.1531143650745,70753088,SELL,EUR/USD,0.1,2018/07/26 12:46:08 UTC,2018/07/26 13:07:52 UTC,1.17163,1.16889,29.7,-2.5,0.0,27.4,27.4,26.9,117.1630000000015,0.22959466725843186,0.23386222612940644
400.1531144870785,70862392,SELL,GBP/USD,0.1,2018/08/02 11:01:44 UTC,2018/08/02 11:40:38 UTC,1.31125,1.31062,22.7,-7.8,0.0,6.3,6.3,5.8,131.12499999997283,0.044232602478560167,0.048045757864642935
400.153114512146,70883569,SELL,USD/JPY,0.1,2018/08/03 12:31:55 UTC,2018/08/03 13:47:55 UTC,111.44,111.249,19.1,-11.7,0.0,19.1,17.17,16.67,100.17930890052226,0.16640162707204598,0.17139267767408695
400.1533473149168,70908897,SELL,AUD/JPY,0.1,2018/08/07 04:40:14 UTC,2018/08/08 08:49:44 UTC,82.353,82.281,10.5,-45.6,-0.65,7.2,5.84,5.34,74.2320791666785,0.07193655438384963,0.07867218681679436
400.1533473897037,70966948,BUY,EUR/USD,0.1,2018/08/10 00:16:12 UTC,2018/08/10 05:13:55 UTC,1.15272,1.14747,8.5,-52.5,0.0,-52.5,-52.5,-53.0,115.2720000000005,-0.4597820806440399,-0.4554445138455112
400.1533473953191,70971214,BUY,EUR/USD,0.1,2018/08/10 05:26:50 UTC,2018/08/10 16:50:47 UTC,1.14468,1.13929,34.7,-53.9,0.0,-53.9,-53.9,-54.4,114.46799999999986,-0.4752419890275017,-0.47087395604011656
400.1534122054568,71073578,SELL,EUR/AUD,0.1,2018/08/16 13:49:40 UTC,2018/08/17 01:48:34 UTC,1.56591,1.56501,18.9,-19.1,0.36,9.0,6.91,6.41,113.96345000001253,0.05624610346562249,0.06063347503080365
400.1534122596476,71101305,BUY,EUR/USD,0.1,2018/08/20 09:51:14 UTC,2018/08/20 14:14:53 UTC,1.14115,1.14301,25.0,-18.0,0.0,18.6,18.6,18.1,114.11500000000169,0.1586119265653046,0.16299347149804783
400.1534123580818,71231255,BUY,AUD/USD,0.1,2018/08/24 02:49:10 UTC,2018/08/24 05:54:02 UTC,0.7256,0.72817,32.7,-1.9,0.0,25.7,25.7,25.2,72.5600000000011,0.3472987872105791,0.35418963616316995
400.1534124429586,71342109,SELL,AUD/JPY,0.1,2018/08/29 02:08:56 UTC,2018/08/29 06:02:06 UTC,81.617,81.291,43.3,-19.2,0.0,32.6,29.33,28.83,73.43026411042773,0.3926174084930997,0.39942659004865116
