Provider Ticket,Broker Ticket,Type,Currency,Standard Lots,Date Open,Date Close,Price Open,Price Close,Highest Profit (Pips),Worst Drawdown (Pips),Interest ($),Profit (Pips),Profit ($)
300.1621772421892,862816941,SELL,GBP/AUD,0.01,2019/10/15 10:28:32 UTC,2019/10/15 10:36:15 UTC,1.87327,1.8726,6.7,0.0,0.0,6.7,0.05
300.1621772421898,862817019,SELL,GBP/CAD,0.01,2019/10/15 10:30:12 UTC,2019/10/15 11:06:37 UTC,1.67509,1.6732,18.9,0.0,0.0,18.9,0.14
300.1621772421896,862817016,SELL,GBP/JPY,0.01,2019/10/15 10:30:11 UTC,2019/10/15 11:06:37 UTC,136.955,136.909,4.6,0.0,0.0,4.6,0.05
300.1621772421895,862817014,SELL,GBP/JPY,0.09,2019/10/15 10:30:11 UTC,2019/10/15 11:06:38 UTC,136.959,136.91,4.9,0.0,0.0,4.9,0.41
300.1621772421894,862817011,SELL,GBP/CAD,0.09,2019/10/15 10:30:11 UTC,2019/10/15 11:06:38 UTC,1.67507,1.6732,18.7,0.0,0.0,18.7,1.27
300.1621772421891,862816916,SELL,NZD/USD,0.09,2019/10/15 10:27:43 UTC,2019/10/15 11:09:14 UTC,0.62707,0.6268,2.7,0.0,0.0,2.7,0.24
300.1621772421893,862817010,SELL,GBP/CHF,0.09,2019/10/15 10:30:10 UTC,2019/10/15 11:09:15 UTC,1.26231,1.26189,4.2,0.0,0.0,4.2,0.38
300.1621772421897,862817018,SELL,GBP/CHF,0.01,2019/10/15 10:30:12 UTC,2019/10/15 11:09:17 UTC,1.26231,1.26182,4.9,0.0,0.0,4.9,0.04
300.1621772421899,862817022,SELL,GBP/USD,0.09,2019/10/15 10:30:12 UTC,2019/10/15 11:09:18 UTC,1.26627,1.26487,14.0,0.0,0.0,14.0,1.26
300.1621772421900,862817024,BUY,EUR/GBP,0.03,2019/10/15 10:30:13 UTC,2019/10/15 11:09:19 UTC,0.86863,0.86911,4.8,0.0,0.0,4.8,0.18
300.1621772421901,862817036,BUY,USD/JPY,0.03,2019/10/15 10:30:15 UTC,2019/10/15 11:09:26 UTC,108.18,108.261,8.1,0.0,0.0,8.1,0.22
300.1621772421902,862817043,BUY,USD/CHF,0.03,2019/10/15 10:30:19 UTC,2019/10/15 11:09:29 UTC,0.99716,0.9973,1.4,0.0,0.0,1.4,0.04
300.1621772421903,862817046,SELL,EUR/USD,0.03,2019/10/15 10:30:19 UTC,2019/10/15 11:09:31 UTC,1.10171,1.10135,3.6,0.0,0.0,3.6,0.1
300.1621772421904,862817048,BUY,AUD/JPY,0.09,2019/10/15 10:30:20 UTC,2019/10/15 11:09:32 UTC,73.125,73.134,0.9,0.0,0.0,0.9,0.08
300.1621772421905,862817050,BUY,AUD/JPY,0.01,2019/10/15 10:30:20 UTC,2019/10/15 11:09:34 UTC,73.125,73.134,0.9,0.0,0.0,0.9,0.0
300.1621772421906,862817052,SELL,AUD/CAD,0.03,2019/10/15 10:30:21 UTC,2019/10/15 11:09:35 UTC,0.89405,0.89403,0.2,0.0,0.0,0.2,0.0
300.1621772421907,862817053,BUY,EUR/JPY,0.09,2019/10/15 10:30:21 UTC,2019/10/15 11:09:39 UTC,119.24,119.253,1.3,0.0,0.0,1.3,0.11
300.1621772421910,862817101,BUY,EUR/NZD,0.09,2019/10/15 10:31:39 UTC,2019/10/15 11:09:53 UTC,1.75451,1.75581,13.0,0.0,0.0,13.0,0.73
300.1621772421909,862817065,SELL,EUR/CAD,0.01,2019/10/15 10:30:23 UTC,2019/10/15 11:09:54 UTC,1.4575,1.45712,3.8,0.0,0.0,3.8,0.03
300.1621772421911,862817111,BUY,EUR/NZD,0.01,2019/10/15 10:32:07 UTC,2019/10/15 11:09:54 UTC,1.7541,1.75581,17.1,0.0,0.0,17.1,0.1
300.1621772421908,862817063,BUY,EUR/JPY,0.01,2019/10/15 10:30:23 UTC,2019/10/15 11:09:56 UTC,119.24,119.26,2.0,0.0,0.0,2.0,0.01
300.1621772421912,862817122,SELL,NZD/USD,0.01,2019/10/15 10:32:41 UTC,2019/10/15 11:09:57 UTC,0.62756,0.62669,8.7,0.0,0.0,8.7,0.09
300.1621772421942,862818099,BUY,GBP/AUD,0.01,2019/10/15 11:17:43 UTC,2019/10/15 11:24:19 UTC,1.8725,1.87299,4.9,0.0,0.0,4.9,0.03
300.1621772421945,862818210,SELL,GBP/AUD,0.01,2019/10/15 11:24:20 UTC,2019/10/15 11:34:29 UTC,1.87293,1.87235,5.8,0.0,0.0,5.8,0.04
300.1621772421918,862818010,BUY,GBP/JPY,0.01,2019/10/15 11:15:50 UTC,2019/10/15 14:02:30 UTC,136.952,137.134,18.2,0.0,0.0,18.2,0.16
